AKERBP;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
31.10.18;278,00;277,60;278,00;279,20;271,40;304 223 101;1 100 453;5 347;5 349;276,4751
30.10.18;268,00;267,80;268,00;273,80;263,40;291 890 033;1 087 114;6 325;6 327;268,3604
29.10.18;269,40;269,40;269,60;276,00;267,60;298 420 007;1 098 544;5 439;5 439;271,6505
26.10.18;276,80;276,60;276,80;289,80;271,40;292 257 466;1 053 624;5 653;5 654;277,3834
25.10.18;289,60;289,40;289,60;292,80;274,00;273 627 882;952 839;5 242;5 248;287,1721
24.10.18;285,80;284,80;285,80;291,40;279,20;250 203 525;876 237;5 717;5 720;285,5436
23.10.18;279,60;279,40;279,60;293,00;279,40;309 937 631;1 089 619;6 683;6 689;284,4471
22.10.18;289,60;289,60;289,80;310,80;287,80;314 766 258;1 063 185;5 681;5 683;296,0457
19.10.18;307,40;307,20;307,40;309,40;297,40;416 314 280;1 368 913;6 821;6 824;304,0451
18.10.18;295,20;295,20;295,40;304,60;293,60;229 734 373;770 923;4 166;4 167;297,9987
17.10.18;301,00;300,80;301,00;313,80;299,40;227 751 419;748 574;4 370;4 370;304,247
16.10.18;304,20;303,60;304,20;306,00;297,60;271 285 875;899 948;4 995;4 996;301,4459
15.10.18;305,60;305,00;305,60;313,80;304,20;241 233 647;783 831;3 885;3 888;307,7794
12.10.18;310,00;309,80;310,00;314,80;307,40;208 337 980;670 564;4 290;4 311;310,6737
11.10.18;307,20;307,00;307,20;310,20;298,80;406 072 357;1 332 202;7 382;7 383;304,8222
10.10.18;320,00;320,00;320,20;337,80;318,80;270 178 543;833 776;3 690;3 690;324,0421
09.10.18;333,00;332,80;333,00;336,20;328,20;187 649 242;565 259;3 097;3 100;331,968
08.10.18;326,40;326,20;326,60;330,00;322,40;220 023 018;674 431;4 130;4 130;326,235
05.10.18;330,20;330,20;330,40;336,80;329,60;390 870 029;1 176 537;5 861;5 861;332,2208
04.10.18;338,00;338,00;338,40;349,20;338,00;224 466 594;656 043;2 959;3 004;341,9704
03.10.18;344,80;344,60;344,80;346,20;342,00;157 243 123;457 089;2 758;2 774;344,0737
02.10.18;344,40;344,00;344,40;350,00;340,80;177 681 911;515 348;3 053;3 057;344,7781
01.10.18;345,20;345,20;345,40;355,00;343,60;246 334 060;707 784;3 916;3 942;347,8971
28.09.18;345,40;345,20;345,40;345,40;336,60;254 589 801;743 542;3 085;3 085;342,4014
27.09.18;339,60;339,60;340,00;343,40;336,00;165 401 245;486 571;2 651;2 655;339,9405
26.09.18;335,80;335,80;336,20;342,80;335,20;242 433 718;716 134;3 979;3 980;338,5316
25.09.18;338,80;338,80;339,00;339,40;322,80;373 525 104;1 117 013;5 152;5 156;334,3985
24.09.18;320,80;320,80;321,00;321,40;315,20;226 344 634;727 254;3 585;3 600;318,8581
21.09.18;314,60;314,60;314,80;315,40;304,20;258 880 032;828 994;3 485;3 487;312,2943
20.09.18;304,20;304,20;304,40;309,20;303,00;171 356 993;560 854;2 982;2 982;305,5287
19.09.18;307,00;306,60;307,00;308,40;305,20;130 717 216;426 050;1 615;1 615;306,8119
18.09.18;306,40;306,20;306,40;308,60;302,20;150 786 375;492 446;2 704;2 704;306,1988
17.09.18;306,20;305,80;306,20;306,80;301,80;129 716 927;425 621;2 495;2 497;304,7708
14.09.18;305,60;305,40;305,60;309,40;303,40;142 438 455;465 837;2 458;2 458;305,7689
