"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2018","1,977.75","1,958.00","1,981.00","1,955.50","-","1.12%"
"Oct 31, 2018","1,955.75","1,970.75","1,980.75","1,953.75","-","-0.55%"
"Oct 30, 2018","1,966.50","1,981.75","1,989.25","1,965.50","-","-0.69%"
"Oct 29, 2018","1,980.25","2,004.50","2,005.75","1,978.75","-","-1.04%"
"Oct 26, 2018","2,001.00","1,992.25","2,005.25","1,975.75","-","0.46%"
"Oct 25, 2018","1,991.75","2,000.75","2,008.25","1,991.25","-","-0.61%"
"Oct 24, 2018","2,004.00","2,008.50","2,015.75","1,996.25","-","-0.10%"
"Oct 23, 2018","2,006.00","2,006.75","2,016.75","1,997.75","-","0.10%"
"Oct 22, 2018","2,004.00","2,010.75","2,031.75","2,002.50","-","-0.22%"
"Oct 19, 2018","2,008.50","2,014.00","2,025.00","1,997.25","-","-0.16%"
"Oct 18, 2018","2,011.75","2,029.75","2,029.75","2,008.25","-","-0.56%"
"Oct 17, 2018","2,023.00","2,038.25","2,044.25","2,015.25","-","-0.49%"
"Oct 16, 2018","2,033.00","2,032.00","2,039.25","2,014.25","-","0.15%"
"Oct 15, 2018","2,030.00","2,037.00","2,054.75","2,026.25","-","0.04%"
"Oct 12, 2018","2,029.25","2,023.25","2,058.00","2,023.25","-","0.12%"
"Oct 11, 2018","2,026.75","2,036.00","2,043.75","2,017.75","-","-0.66%"
"Oct 10, 2018","2,040.25","2,059.75","2,067.00","2,030.25","-","-0.78%"
"Oct 09, 2018","2,056.25","2,068.75","2,073.50","2,033.00","-","-0.56%"
"Oct 08, 2018","2,067.75","2,086.00","2,089.25","2,044.75","-","-2.35%"
"Oct 05, 2018","2,117.50","2,176.25","2,191.75","2,107.50","-","-2.43%"
"Oct 04, 2018","2,170.25","2,237.50","2,266.75","2,157.25","-","-2.47%"
"Oct 03, 2018","2,225.25","2,109.25","2,237.75","2,103.50","-","5.34%"
"Oct 02, 2018","2,112.50","2,077.00","2,132.25","2,074.50","-","1.78%"
"Oct 01, 2018","2,075.50","2,054.25","2,084.75","2,047.25","-","1.10%"
"Sep 28, 2018","2,053.00","2,030.25","2,084.75","2,015.75","-","1.01%"
"Sep 27, 2018","2,032.50","2,057.25","2,062.00","2,028.25","-","-1.25%"
"Sep 26, 2018","2,058.25","2,063.50","2,089.75","2,054.50","-","-0.42%"
"Sep 25, 2018","2,067.00","2,046.25","2,073.25","2,034.50","-","1.05%"
"Sep 24, 2018","2,045.50","2,075.75","2,089.75","2,043.50","-","-2.05%"
"Sep 21, 2018","2,088.25","2,056.50","2,097.75","2,044.75","-","1.61%"
"Sep 20, 2018","2,055.25","2,031.25","2,061.25","2,028.00","-","1.24%"
"Sep 19, 2018","2,030.00","2,031.75","2,047.50","2,015.25","-","-0.10%"
"Sep 18, 2018","2,032.00","2,031.50","2,056.50","2,026.00","-","-0.17%"
"Sep 17, 2018","2,035.50","2,014.00","2,043.00","2,008.25","-","-0.06%"
"Sep 14, 2018","2,036.75","2,050.00","2,064.50","2,035.50","-","-0.76%"
"Sep 13, 2018","2,052.25","2,056.75","2,079.00","2,034.00","-","-0.27%"
"Sep 12, 2018","2,057.75","2,050.75","2,078.75","2,010.50","-","0.49%"
"Sep 11, 2018","2,047.75","2,082.50","2,094.75","2,042.25","-","-1.53%"
"Sep 10, 2018","2,079.50","2,064.00","2,108.75","2,035.50","-","0.93%"
"Sep 07, 2018","2,060.25","2,043.75","2,079.25","2,043.25","-","1.02%"
"Sep 06, 2018","2,039.50","2,065.25","2,082.50","2,035.25","-","-1.31%"
"Sep 05, 2018","2,066.50","2,065.00","2,086.50","2,051.25","-","-0.07%"
"Sep 04, 2018","2,068.00","2,092.00","2,104.50","2,056.25","-","-1.09%"
"Sep 03, 2018","2,090.75","2,117.50","2,123.50","2,086.75","-","-1.37%"
"Aug 31, 2018","2,119.75","2,127.00","2,152.75","2,117.75","-","-0.56%"
"Aug 30, 2018","2,131.75","2,158.50","2,176.75","2,112.50","-","-1.31%"
"Aug 29, 2018","2,160.00","2,133.25","2,177.00","2,122.75","-","1.16%"
"Aug 28, 2018","2,135.25","2,086.50","2,140.75","2,086.00","-","2.02%"
"Aug 24, 2018","2,093.00","2,072.75","2,108.25","2,064.25","-","0.92%"
"Aug 23, 2018","2,074.00","2,064.50","2,074.75","2,042.00","-","0.23%"
"Aug 22, 2018","2,069.25","2,065.25","2,080.75","2,055.75","-","0.38%"
"Aug 21, 2018","2,061.50","2,062.75","2,077.50","2,050.50","-","0.15%"
"Aug 20, 2018","2,058.50","2,041.00","2,084.00","2,036.25","-","1.22%"
"Aug 17, 2018","2,033.75","2,039.50","2,052.25","2,018.75","-","-0.22%"
"Aug 16, 2018","2,038.25","2,028.50","2,055.50","2,021.50","-","0.57%"
"Aug 15, 2018","2,026.75","2,067.25","2,067.75","2,007.50","-","-2.05%"
"Aug 14, 2018","2,069.25","2,078.75","2,089.25","2,045.50","-","-0.33%"
"Aug 13, 2018","2,076.00","2,081.00","2,094.25","2,071.00","-","-0.79%"
"Aug 10, 2018","2,092.50","2,071.00","2,116.50","2,056.00","-","0.87%"
"Aug 09, 2018","2,074.50","2,120.00","2,147.25","2,071.75","-","-1.76%"
"Aug 08, 2018","2,111.75","2,039.00","2,113.75","2,034.25","-","3.70%"
"Aug 07, 2018","2,036.50","2,047.50","2,067.25","2,032.75","-","-0.61%"
"Aug 06, 2018","2,049.00","2,037.00","2,050.75","2,023.75","-","1.04%"
"Aug 03, 2018","2,028.00","2,037.25","2,048.75","2,024.75","-","-0.55%"
"Aug 02, 2018","2,039.25","2,053.50","2,062.75","2,036.75","-","-0.71%"
"Aug 01, 2018","2,053.75","2,080.50","2,081.25","2,047.50","-","-1.39%"
"Jul 31, 2018","2,082.75","2,082.50","2,093.75","2,068.25","-","-0.08%"
"Jul 30, 2018","2,084.50","2,057.75","2,092.50","2,053.75","-","1.14%"
"Jul 27, 2018","2,061.00","2,068.50","2,078.75","2,053.25","-","-0.35%"
"Jul 26, 2018","2,068.25","2,080.50","2,091.75","2,053.75","-","0.25%"
"Jul 25, 2018","2,063.00","2,079.75","2,087.25","2,053.25","-","-0.95%"
"Jul 24, 2018","2,082.75","2,066.75","2,112.75","2,052.75","-","0.93%"
"Jul 23, 2018","2,063.50","2,038.25","2,080.50","2,032.25","-","0.88%"
"Jul 20, 2018","2,045.50","2,008.75","2,046.50","2,003.75","-","2.11%"
"Jul 19, 2018","2,003.25","2,032.25","2,052.50","2,002.25","-","-1.63%"
"Jul 18, 2018","2,036.50","2,033.25","2,044.50","2,021.50","-","0.17%"
"Jul 17, 2018","2,033.00","2,057.25","2,086.75","2,030.50","-","-1.25%"
"Jul 16, 2018","2,058.75","2,037.00","2,073.50","2,029.25","-","0.93%"
"Jul 13, 2018","2,039.75","2,043.50","2,057.25","2,023.25","-","-0.17%"
"Jul 12, 2018","2,043.25","2,060.00","2,079.75","2,032.50","-","-0.91%"
"Jul 11, 2018","2,062.00","2,083.25","2,084.50","2,053.75","-","-1.23%"
"Jul 10, 2018","2,087.75","2,111.00","2,126.00","2,082.00","-","-1.21%"
"Jul 09, 2018","2,113.25","2,085.00","2,133.50","2,083.75","-","1.23%"
"Jul 06, 2018","2,087.50","2,083.75","2,095.50","2,071.25","-","0.13%"
"Jul 05, 2018","2,084.75","2,097.25","2,111.00","2,077.50","-","-0.61%"
"Jul 04, 2018","2,097.50","2,091.75","2,117.75","2,083.25","-","0.08%"
"Jul 03, 2018","2,095.75","2,113.00","2,134.75","2,083.25","-","-0.62%"
"Jul 02, 2018","2,108.75","2,134.75","2,136.50","2,098.50","-","-1.08%"
"Jun 29, 2018","2,131.75","2,151.50","2,168.25","2,130.25","-","-0.96%"
"Jun 28, 2018","2,152.50","2,167.25","2,175.50","2,141.75","-","-1.08%"
"Jun 27, 2018","2,176.00","2,191.50","2,202.75","2,151.50","-","0.36%"
"Jun 26, 2018","2,168.25","2,153.75","2,172.75","2,135.25","-","0.73%"
"Jun 25, 2018","2,152.50","2,180.25","2,185.75","2,150.50","-","-1.22%"
"Jun 22, 2018","2,179.00","2,187.25","2,188.25","2,164.50","-","-0.47%"
"Jun 21, 2018","2,189.25","2,173.25","2,192.75","2,162.50","-","0.93%"
"Jun 20, 2018","2,169.00","2,179.50","2,198.75","2,165.25","-","-0.15%"
"Jun 19, 2018","2,172.25","2,228.00","2,228.25","2,167.75","-","-2.15%"
"Jun 18, 2018","2,220.00","2,213.50","2,227.25","2,193.75","-","0.34%"
"Jun 15, 2018","2,212.50","2,252.00","2,257.50","2,201.50","-","-1.95%"
"Jun 14, 2018","2,256.50","2,277.00","2,280.25","2,253.00","-","-0.76%"
"Jun 13, 2018","2,273.75","2,296.25","2,297.50","2,265.75","-","-0.99%"
"Jun 12, 2018","2,296.50","2,311.25","2,326.75","2,290.75","-","-0.13%"
"Jun 11, 2018","2,299.50","2,308.75","2,324.50","2,285.25","-","-0.39%"
"Jun 08, 2018","2,308.50","2,290.50","2,324.00","2,285.50","-","0.66%"
"Jun 07, 2018","2,293.25","2,336.25","2,352.75","2,286.75","-","-1.88%"
"Jun 06, 2018","2,337.25","2,316.25","2,345.00","2,307.25","-","0.88%"
"Jun 05, 2018","2,316.75","2,309.75","2,339.75","2,305.25","-","0.37%"
"Jun 04, 2018","2,308.25","2,303.50","2,342.75","2,291.25","-","0.52%"
"Jun 01, 2018","2,296.25","2,295.25","2,304.75","2,264.25","-","0.21%"
"May 31, 2018","2,291.50","2,270.75","2,303.75","2,264.50","-","1.15%"
"May 30, 2018","2,265.50","2,270.25","2,283.50","2,255.00","-","-0.22%"
"May 29, 2018","2,270.50","2,264.25","2,275.50","2,247.50","-","0.41%"
"May 25, 2018","2,261.25","2,288.75","2,314.25","2,248.25","-","-1.09%"
"May 24, 2018","2,286.25","2,267.75","2,289.75","2,254.75","-","0.59%"
"May 23, 2018","2,272.75","2,267.00","2,277.00","2,239.25","-","0.51%"
"May 22, 2018","2,261.25","2,280.00","2,290.50","2,256.75","-","-0.90%"
"May 21, 2018","2,281.75","2,265.75","2,291.25","2,254.25","-","0.43%"
"May 18, 2018","2,272.00","2,286.75","2,311.50","2,247.00","-","-0.57%"
"May 17, 2018","2,285.00","2,306.50","2,334.75","2,250.50","-","-1.00%"
"May 16, 2018","2,308.00","2,321.50","2,337.75","2,302.75","-","-0.50%"
"May 15, 2018","2,319.50","2,314.50","2,331.00","2,274.25","-","0.21%"
"May 14, 2018","2,314.75","2,279.00","2,324.25","2,264.25","-","1.86%"
"May 11, 2018","2,272.50","2,314.50","2,319.50","2,265.00","-","-1.91%"
"May 10, 2018","2,316.75","2,352.75","2,354.50","2,305.75","-","-1.78%"
"May 09, 2018","2,358.75","2,358.25","2,369.75","2,281.00","-","0.21%"
"May 08, 2018","2,353.75","2,345.00","2,374.25","2,317.00","-","0.34%"
"May 04, 2018","2,345.75","2,280.75","2,366.00","2,280.00","-","3.12%"
"May 03, 2018","2,274.75","2,315.25","2,352.75","2,258.25","-","-1.66%"
"May 02, 2018","2,313.25","2,250.00","2,328.25","2,240.50","-","2.20%"
"May 01, 2018","2,263.50","2,252.75","2,270.50","2,224.00","-","0.63%"
"Apr 30, 2018","2,249.25","2,227.00","2,257.50","2,212.25","-","0.94%"
"Apr 27, 2018","2,228.25","2,275.75","2,296.00","2,205.75","-","-2.01%"
"Apr 26, 2018","2,274.00","2,238.75","2,313.50","2,195.75","-","1.93%"
"Apr 25, 2018","2,231.00","2,212.75","2,272.75","2,186.50","-","0.19%"
"Apr 24, 2018","2,226.75","2,246.75","2,288.25","2,200.25","-","-2.07%"
"Apr 23, 2018","2,273.75","2,481.25","2,534.25","2,238.50","-","-8.07%"
"Apr 20, 2018","2,473.25","2,470.75","2,530.75","2,417.75","-","-0.60%"
"Apr 19, 2018","2,488.25","2,549.75","2,715.75","2,408.75","-","-2.02%"
"Apr 18, 2018","2,539.50","2,425.50","2,539.50","2,388.50","-","5.97%"
"Apr 17, 2018","2,396.50","2,378.25","2,433.00","2,346.75","-","0.63%"
"Apr 16, 2018","2,381.50","2,276.25","2,402.75","2,276.00","-","4.41%"
"Apr 13, 2018","2,281.00","2,292.50","2,339.75","2,271.50","-","-0.45%"
"Apr 12, 2018","2,291.25","2,247.50","2,330.75","2,202.50","-","1.92%"
"Apr 11, 2018","2,248.00","2,209.25","2,277.25","2,200.50","-","1.09%"
"Apr 10, 2018","2,223.75","2,129.75","2,241.75","2,125.00","-","3.99%"
"Apr 09, 2018","2,138.50","2,075.50","2,144.25","2,073.00","-","3.75%"
"Apr 06, 2018","2,061.25","2,006.00","2,061.75","1,987.00","-","2.18%"
"Apr 05, 2018","2,017.25","1,994.50","2,020.50","1,978.25","-","1.36%"
"Apr 04, 2018","1,990.25","1,997.50","2,000.50","1,980.50","-","-0.61%"
"Apr 03, 2018","2,002.50","2,014.25","2,038.25","1,980.75","-","-0.11%"
"Mar 29, 2018","2,004.75","2,031.50","2,044.75","1,996.75","-","-1.28%"
"Mar 28, 2018","2,030.75","2,046.75","2,046.75","2,019.25","-","-0.81%"
"Mar 27, 2018","2,047.25","2,050.50","2,071.00","2,041.75","-","-0.26%"
"Mar 26, 2018","2,052.50","2,054.75","2,063.25","2,043.50","-","-0.05%"
"Mar 23, 2018","2,053.50","2,066.75","2,074.50","2,049.50","-","-0.75%"
"Mar 22, 2018","2,069.00","2,086.50","2,105.00","2,062.75","-","-0.33%"
"Mar 21, 2018","2,075.75","2,081.25","2,091.50","2,062.50","-","-0.23%"
"Mar 20, 2018","2,080.50","2,089.75","2,096.75","2,071.25","-","-0.37%"
"Mar 19, 2018","2,088.25","2,077.75","2,096.00","2,069.00","-","0.06%"
"Mar 16, 2018","2,087.00","2,082.75","2,098.25","2,076.75","-","0.04%"
"Mar 15, 2018","2,086.25","2,091.50","2,102.75","2,071.50","-","-0.23%"
"Mar 14, 2018","2,091.00","2,100.25","2,126.25","2,087.50","-","-0.61%"
"Mar 13, 2018","2,103.75","2,095.50","2,107.25","2,087.75","-","0.48%"
"Mar 12, 2018","2,093.75","2,118.50","2,119.75","2,091.25","-","-1.26%"
"Mar 09, 2018","2,120.50","2,112.50","2,133.75","2,093.25","-","0.55%"
"Mar 08, 2018","2,109.00","2,100.75","2,114.25","2,093.25","-","0.18%"
"Mar 07, 2018","2,105.25","2,142.00","2,145.75","2,097.75","-","-1.64%"
"Mar 06, 2018","2,140.25","2,149.25","2,157.00","2,138.25","-","-0.34%"
"Mar 05, 2018","2,147.50","2,154.00","2,157.75","2,134.50","-","-0.16%"
"Mar 02, 2018","2,151.00","2,146.50","2,161.50","2,137.25","-","-0.12%"
"Mar 01, 2018","2,153.50","2,129.25","2,164.50","2,118.25","-","0.93%"
"Feb 28, 2018","2,133.75","2,148.00","2,153.50","2,130.75","-","-0.65%"
"Feb 27, 2018","2,147.75","2,145.75","2,159.25","2,136.75","-","0.39%"
"Feb 26, 2018","2,139.50","2,155.00","2,169.25","2,137.25","-","-0.43%"
"Feb 23, 2018","2,148.75","2,181.50","2,195.50","2,141.75","-","-1.72%"
"Feb 22, 2018","2,186.25","2,186.00","2,190.50","2,161.25","-","-0.77%"
"Feb 21, 2018","2,203.25","2,185.50","2,207.50","2,160.50","-","0.90%"
"Feb 20, 2018","2,183.50","2,202.25","2,217.75","2,182.75","-","-1.03%"
"Feb 19, 2018","2,206.25","2,196.00","2,228.00","2,166.25","-","0.08%"
"Feb 16, 2018","2,204.50","2,157.00","2,215.50","2,157.00","-","1.93%"
"Feb 15, 2018","2,162.75","2,186.00","2,200.75","2,142.25","-","-1.23%"
"Feb 14, 2018","2,189.75","2,141.25","2,200.50","2,113.00","-","2.25%"
"Feb 13, 2018","2,141.50","2,131.00","2,151.25","2,123.25","-","0.45%"
"Feb 12, 2018","2,132.00","2,131.00","2,151.50","2,117.25","-","0.39%"
"Feb 09, 2018","2,123.75","2,165.25","2,172.50","2,120.75","-","-2.22%"
"Feb 08, 2018","2,172.00","2,165.50","2,175.50","2,148.00","-","0.57%"
"Feb 07, 2018","2,159.75","2,183.00","2,209.25","2,152.50","-","-0.53%"
"Feb 06, 2018","2,171.25","2,192.50","2,201.50","2,170.50","-","-1.73%"
"Feb 05, 2018","2,209.50","2,214.00","2,214.75","2,193.00","-","-0.16%"
"Feb 02, 2018","2,213.00","2,230.75","2,234.75","2,206.50","-","-0.78%"
"Feb 01, 2018","2,230.50","2,211.75","2,235.25","2,190.25","-","0.76%"
"Jan 31, 2018","2,213.75","2,223.50","2,231.75","2,208.75","-","-0.14%"
"Jan 30, 2018","2,216.75","2,230.00","2,239.25","2,195.00","-","-0.38%"
"Jan 29, 2018","2,225.25","2,261.50","2,269.75","2,222.25","-","-1.38%"
"Jan 26, 2018","2,256.50","2,229.25","2,263.75","2,223.75","-","0.98%"
"Jan 25, 2018","2,234.50","2,245.25","2,267.75","2,232.00","-","-0.55%"
"Jan 24, 2018","2,246.75","2,228.00","2,254.00","2,208.50","-","0.91%"
"Jan 23, 2018","2,226.50","2,245.50","2,248.00","2,207.00","-","-0.97%"
"Jan 22, 2018","2,248.25","2,218.50","2,250.25","2,214.00","-","1.24%"
"Jan 19, 2018","2,220.75","2,239.50","2,269.75","2,217.75","-","-0.95%"
"Jan 18, 2018","2,242.00","2,189.50","2,243.75","2,184.75","-","2.16%"
"Jan 17, 2018","2,194.50","2,195.50","2,198.75","2,181.25","-","0.00%"
"Jan 16, 2018","2,194.50","2,228.25","2,228.75","2,170.50","-","-1.32%"
"Jan 15, 2018","2,223.75","2,228.00","2,249.50","2,223.75","-","0.12%"
"Jan 12, 2018","2,221.00","2,183.50","2,229.75","2,183.25","-","1.76%"
"Jan 11, 2018","2,182.50","2,184.25","2,208.75","2,170.25","-","-0.01%"
"Jan 10, 2018","2,182.75","2,158.00","2,189.25","2,155.75","-","1.30%"
