"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2018","6,039.75","6,010.50","6,050.25","5,974.50","-","0.69%"
"Oct 31, 2018","5,998.25","6,029.50","6,057.00","5,984.75","-","-0.46%"
"Oct 30, 2018","6,025.75","6,125.50","6,155.25","6,014.50","-","-1.66%"
"Oct 29, 2018","6,127.75","6,198.75","6,239.50","6,127.75","-","-0.87%"
"Oct 26, 2018","6,181.50","6,187.00","6,191.50","6,100.75","-","-0.23%"
"Oct 25, 2018","6,196.00","6,164.75","6,227.00","6,114.25","-","0.25%"
"Oct 24, 2018","6,180.50","6,198.25","6,274.50","6,171.50","-","-0.08%"
"Oct 23, 2018","6,185.25","6,224.75","6,237.25","6,147.75","-","-0.72%"
"Oct 22, 2018","6,230.25","6,223.50","6,332.00","6,211.75","-","0.14%"
"Oct 19, 2018","6,221.75","6,135.00","6,242.75","6,126.00","-","1.48%"
"Oct 18, 2018","6,131.25","6,213.75","6,228.00","6,122.75","-","-1.43%"
"Oct 17, 2018","6,220.25","6,229.00","6,275.25","6,175.75","-","-0.22%"
"Oct 16, 2018","6,233.75","6,232.75","6,252.75","6,184.00","-","-0.11%"
"Oct 15, 2018","6,240.75","6,293.75","6,341.25","6,234.25","-","-0.73%"
"Oct 12, 2018","6,286.50","6,230.25","6,334.00","6,227.25","-","0.22%"
"Oct 11, 2018","6,272.50","6,196.50","6,296.50","6,092.25","-","0.90%"
"Oct 10, 2018","6,216.50","6,300.25","6,312.00","6,213.50","-","-1.23%"
"Oct 09, 2018","6,294.00","6,201.25","6,301.50","6,164.25","-","1.54%"
"Oct 08, 2018","6,198.75","6,166.50","6,223.75","6,127.50","-","0.20%"
"Oct 05, 2018","6,186.50","6,235.75","6,243.75","6,153.75","-","-0.65%"
"Oct 04, 2018","6,226.75","6,305.50","6,391.50","6,207.50","-","-1.67%"
"Oct 03, 2018","6,332.75","6,265.75","6,339.00","6,253.75","-","1.26%"
"Oct 02, 2018","6,254.00","6,238.25","6,355.00","6,178.25","-","0.25%"
"Oct 01, 2018","6,238.25","6,256.25","6,280.25","6,153.75","-","-0.33%"
"Sep 28, 2018","6,258.75","6,179.00","6,267.50","6,159.25","-","1.30%"
"Sep 27, 2018","6,178.25","6,278.50","6,290.75","6,163.00","-","-1.76%"
"Sep 26, 2018","6,288.75","6,279.25","6,316.25","6,258.00","-","0.12%"
"Sep 25, 2018","6,281.00","6,297.50","6,327.75","6,212.75","-","-0.26%"
"Sep 24, 2018","6,297.25","6,320.00","6,374.25","6,290.25","-","-0.61%"
"Sep 21, 2018","6,335.75","6,144.75","6,380.00","6,132.50","-","3.58%"
"Sep 20, 2018","6,116.75","6,097.00","6,123.50","6,045.50","-","0.48%"
"Sep 19, 2018","6,087.25","6,107.75","6,146.00","6,070.00","-","-0.05%"
"Sep 18, 2018","6,090.50","5,860.50","6,118.25","5,855.25","-","2.37%"
"Sep 17, 2018","5,949.50","5,871.25","5,955.50","5,864.25","-","0.75%"
"Sep 14, 2018","5,905.50","5,998.25","6,036.25","5,896.25","-","-1.42%"
"Sep 13, 2018","5,990.50","5,998.00","6,073.50","5,985.25","-","-0.10%"
"Sep 12, 2018","5,996.25","5,885.75","6,011.25","5,851.00","-","1.98%"
"Sep 11, 2018","5,879.75","5,889.00","5,962.50","5,808.00","-","-0.15%"
"Sep 10, 2018","5,888.75","5,880.50","5,909.50","5,850.75","-","0.18%"
"Sep 07, 2018","5,878.25","5,914.75","5,946.75","5,832.00","-","-0.52%"
"Sep 06, 2018","5,908.75","5,890.50","5,987.00","5,869.75","-","0.45%"
"Sep 05, 2018","5,882.00","5,846.25","5,889.75","5,826.25","-","0.72%"
"Sep 04, 2018","5,839.75","5,953.25","5,973.50","5,801.75","-","-1.79%"
"Sep 03, 2018","5,946.00","5,977.25","6,001.75","5,945.50","-","-0.67%"
"Aug 31, 2018","5,986.25","6,038.25","6,070.25","5,963.50","-","-1.46%"
"Aug 30, 2018","6,075.00","6,095.50","6,115.50","6,010.75","-","-0.30%"
"Aug 29, 2018","6,093.00","6,129.50","6,149.00","6,071.50","-","-0.64%"
"Aug 28, 2018","6,132.50","6,100.75","6,166.50","6,057.50","-","1.05%"
"Aug 24, 2018","6,068.75","5,967.00","6,116.25","5,960.50","-","1.75%"
"Aug 23, 2018","5,964.25","5,997.75","5,999.25","5,901.75","-","-0.81%"
"Aug 22, 2018","6,013.25","6,034.00","6,056.50","5,975.50","-","-0.77%"
"Aug 21, 2018","6,060.00","6,000.50","6,074.75","5,994.00","-","1.14%"
"Aug 20, 2018","5,991.50","5,967.75","6,032.75","5,951.75","-","0.98%"
"Aug 17, 2018","5,933.50","5,890.25","5,944.50","5,866.00","-","0.77%"
"Aug 16, 2018","5,888.25","5,829.00","5,957.50","5,801.25","-","0.96%"
"Aug 15, 2018","5,832.00","6,042.75","6,043.00","5,774.25","-","-3.54%"
"Aug 14, 2018","6,046.00","6,135.25","6,151.50","6,025.50","-","-1.38%"
"Aug 13, 2018","6,130.75","6,154.75","6,182.50","6,097.25","-","-0.37%"
"Aug 10, 2018","6,153.50","6,201.50","6,220.25","6,127.25","-","-0.69%"
"Aug 09, 2018","6,196.25","6,168.75","6,306.00","6,166.25","-","0.37%"
"Aug 08, 2018","6,173.50","6,172.75","6,209.50","6,130.00","-","0.26%"
"Aug 07, 2018","6,157.75","6,113.50","6,193.00","6,105.25","-","0.82%"
"Aug 06, 2018","6,107.50","6,155.50","6,181.75","6,066.75","-","-1.09%"
"Aug 03, 2018","6,175.00","6,116.75","6,234.75","6,074.00","-","0.59%"
"Aug 02, 2018","6,138.50","6,143.75","6,177.50","6,067.50","-","0.30%"
"Aug 01, 2018","6,120.25","6,306.75","6,306.75","6,112.00","-","-3.21%"
"Jul 31, 2018","6,323.00","6,241.75","6,341.25","6,192.25","-","1.22%"
"Jul 30, 2018","6,246.50","6,261.00","6,277.00","6,166.25","-","0.03%"
"Jul 27, 2018","6,244.75","6,271.50","6,324.50","6,218.25","-","-0.59%"
"Jul 26, 2018","6,282.00","6,356.00","6,376.75","6,256.50","-","-0.40%"
"Jul 25, 2018","6,307.50","6,267.75","6,328.75","6,242.00","-","0.72%"
"Jul 24, 2018","6,262.25","6,140.25","6,326.50","6,111.00","-","2.17%"
"Jul 23, 2018","6,129.00","6,157.25","6,204.00","6,118.00","-","-0.37%"
"Jul 20, 2018","6,151.50","6,072.50","6,171.00","6,007.00","-","1.59%"
"Jul 19, 2018","6,055.50","6,188.50","6,214.00","5,988.50","-","-2.06%"
"Jul 18, 2018","6,183.00","6,156.00","6,193.75","6,083.25","-","0.39%"
"Jul 17, 2018","6,159.25","6,191.00","6,261.50","6,143.25","-","-0.53%"
"Jul 16, 2018","6,192.00","6,225.50","6,267.25","6,150.75","-","-0.39%"
"Jul 13, 2018","6,216.50","6,225.25","6,242.75","6,156.50","-","0.02%"
"Jul 12, 2018","6,215.50","6,147.00","6,246.00","6,102.75","-","1.28%"
"Jul 11, 2018","6,137.25","6,328.25","6,328.25","6,081.75","-","-3.29%"
"Jul 10, 2018","6,346.00","6,425.00","6,443.00","6,301.50","-","-0.93%"
"Jul 09, 2018","6,405.75","6,327.25","6,437.50","6,324.75","-","1.58%"
"Jul 06, 2018","6,306.00","6,333.25","6,344.00","6,222.00","-","-0.28%"
"Jul 05, 2018","6,323.75","6,409.75","6,428.00","6,307.00","-","-1.20%"
"Jul 04, 2018","6,400.75","6,518.00","6,564.75","6,344.25","-","-1.69%"
"Jul 03, 2018","6,511.00","6,568.25","6,612.75","6,494.00","-","-0.88%"
"Jul 02, 2018","6,569.00","6,625.50","6,635.25","6,520.25","-","-0.77%"
"Jun 29, 2018","6,620.00","6,633.25","6,693.00","6,610.50","-","-0.09%"
"Jun 28, 2018","6,625.75","6,694.00","6,702.25","6,590.75","-","-1.04%"
"Jun 27, 2018","6,695.50","6,725.00","6,746.50","6,667.50","-","-0.47%"
"Jun 26, 2018","6,727.00","6,711.50","6,744.75","6,692.25","-","0.34%"
"Jun 25, 2018","6,704.50","6,821.00","6,836.00","6,702.50","-","-1.47%"
"Jun 22, 2018","6,804.25","6,798.75","6,829.50","6,769.50","-","0.11%"
"Jun 21, 2018","6,797.00","6,817.75","6,842.50","6,772.50","-","-0.24%"
"Jun 20, 2018","6,813.25","6,817.75","6,870.25","6,773.25","-","-0.19%"
"Jun 19, 2018","6,826.25","6,971.00","7,000.25","6,809.50","-","-2.09%"
"Jun 18, 2018","6,972.00","7,006.25","7,027.50","6,919.00","-","-0.58%"
"Jun 15, 2018","7,012.75","7,141.25","7,168.00","6,996.25","-","-2.05%"
"Jun 14, 2018","7,159.50","7,234.50","7,235.75","7,156.75","-","-1.13%"
"Jun 13, 2018","7,241.50","7,211.25","7,258.75","7,169.75","-","0.37%"
"Jun 12, 2018","7,214.50","7,226.00","7,257.50","7,196.25","-","-0.13%"
"Jun 11, 2018","7,223.75","7,312.25","7,329.00","7,212.75","-","-1.11%"
