EQNR;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
31.10.18;219,30;219,20;219,30;220,40;214,40;1 059 218 712;4 855 858;8 311;8 342;218,1311
30.10.18;212,00;211,90;212,00;217,70;209,60;992 724 114;4 654 699;10 923;10 928;213,2794
29.10.18;215,20;215,10;215,20;216,20;213,10;768 920 269;3 575 234;7 659;7 659;215,0685
26.10.18;212,30;212,00;212,30;216,00;207,60;893 570 971;4 222 173;10 510;10 519;211,2948
25.10.18;214,00;213,90;214,00;216,70;210,20;1 207 929 048;5 638 685;12 059;12 068;214,2424
24.10.18;213,90;213,80;214,00;216,70;211,20;879 227 700;4 111 881;9 775;9 779;213,8266
23.10.18;212,40;212,40;212,50;219,70;212,30;954 745 991;4 455 091;9 859;9 860;214,305
22.10.18;216,50;216,50;216,70;225,20;216,50;705 347 389;3 208 083;6 758;6 768;219,8348
19.10.18;223,10;223,10;223,20;224,30;218,80;878 386 004;3 956 600;9 188;9 189;221,8707
18.10.18;218,50;218,50;218,60;221,80;217,20;780 642 619;3 559 736;8 303;8 304;219,3024
17.10.18;222,70;222,60;222,70;225,70;222,00;657 558 081;2 936 504;6 688;6 692;223,925
16.10.18;222,30;222,20;222,30;222,30;219,00;633 691 588;2 869 878;6 696;6 705;220,8053
15.10.18;221,40;221,30;221,40;224,10;220,50;768 996 556;3 464 949;7 269;7 270;221,936
12.10.18;221,00;220,90;221,00;222,90;218,90;913 718 635;4 135 797;9 997;10 010;220,9304
11.10.18;221,30;221,30;221,60;225,20;218,80;1 361 241 718;6 151 926;12 582;12 588;221,2796
10.10.18;229,00;228,90;229,00;233,50;228,30;905 255 405;3 920 623;8 286;8 288;230,8855
09.10.18;231,30;231,30;231,50;232,70;227,80;909 616 941;3 945 605;8 723;8 730;230,54
08.10.18;225,70;225,70;225,90;228,00;224,70;711 064 412;3 146 875;6 410;6 411;225,9603
05.10.18;228,30;228,30;228,40;232,10;228,10;780 557 019;3 397 581;7 313;7 313;229,739
04.10.18;228,70;228,60;228,80;232,70;228,20;648 929 643;2 824 538;6 083;6 091;229,7483
03.10.18;230,00;229,80;230,00;230,80;228,30;579 741 810;2 525 775;5 862;5 876;229,5309
02.10.18;229,20;229,20;229,30;232,90;229,00;874 281 550;3 794 016;7 387;7 389;230,4388
01.10.18;230,50;230,40;230,50;232,80;229,70;625 736 730;2 708 408;5 705;5 707;231,0307
28.09.18;229,50;229,50;229,70;231,30;227,40;687 118 227;2 993 733;5 186;5 186;229,5189
27.09.18;230,20;230,20;230,30;233,80;230,00;656 823 840;2 841 565;6 065;6 073;231,1594
26.09.18;231,00;231,00;231,10;234,60;230,50;869 452 249;3 740 745;7 325;7 329;232,3352
25.09.18;234,40;234,10;234,50;234,60;227,10;1 843 955 123;7 964 975;14 411;14 419;232,1996
24.09.18;225,20;225,10;225,20;225,60;217,10;1 292 814 819;5 802 006;11 659;11 677;223,034
21.09.18;216,70;216,60;216,80;217,40;215,50;1 209 649 010;5 586 431;6 100;6 105;216,531
20.09.18;215,20;215,20;215,40;217,70;215,00;802 738 612;3 716 584;5 617;5 618;215,9619
19.09.18;215,30;215,30;215,40;217,40;215,10;541 286 533;2 508 349;3 820;3 822;215,7856
18.09.18;216,20;216,20;216,30;217,20;215,00;707 350 919;3 274 043;6 730;6 731;216,0562
17.09.18;217,00;217,00;217,10;217,80;215,80;472 297 371;2 176 644;3 686;3 687;216,9842
14.09.18;216,70;216,50;216,80;217,70;216,00;511 287 694;2 359 301;4 036;4 040;216,7102
13.09.18;216,90;216,60;217,00;217,50;215,90;503 460 301;2 321 299;4 416;4 418;216,887
12.09.18;216,80;216,80;217,00;218,00;215,00;700 344 762;3 226 387;5 798;5 802;217,0342
11.09.18;214,60;214,50;214,60;214,60;211,10;694 126 580;3 255 669;7 298;7 299;213,2028
10.09.18;210,10;210,10;210,30;211,20;209,30;476 770 376;2 267 136;5 762;5 762;210,2963
07.09.18;209,30;209,30;209,50;212,60;207,20;715 625 588;3 407 766;6 856;6 858;209,9368
06.09.18;210,80;210,50;210,80;212,30;210,00;549 919 486;2 605 303;5 045;5 045;211,077
05.09.18;210,10;210,10;210,20;215,30;210,10;789 634 752;3 724 590;7 376;7 381;211,9394
04.09.18;215,60;215,50;215,60;216,30;214,80;495 047 627;2 296 572;4 757;4 758;215,5594
03.09.18;215,30;215,30;215,50;216,00;214,30;359 056 291;1 667 772;3 053;3 055;215,2924
31.08.18;215,10;215,10;215,30;218,30;215,10;643 071 336;2 979 861;4 552;4 553;215,8072
30.08.18;218,20;218,20;218,30;219,50;217,20;429 174 460;1 965 660;4 938;4 938;218,3361
29.08.18;218,80;218,80;218,90;219,20;217,70;424 702 394;1 942 713;4 422;4 422;218,613
28.08.18;218,10;218,10;218,50;219,00;217,40;495 513 200;2 269 769;4 412;4 413;218,3074
27.08.18;217,90;217,70;217,90;217,90;216,70;360 422 516;1 657 439;3 409;3 410;217,4678
24.08.18;215,30;215,30;215,50;216,80;213,20;664 231 799;3 089 973;7 822;7 823;214,9671
23.08.18;215,40;215,40;215,50;217,40;215,30;436 630 570;2 019 932;4 041;4 041;216,161
22.08.18;216,20;216,20;216,40;216,70;214,00;382 267 075;1 770 195;3 921;3 922;215,9498
21.08.18;215,80;215,70;215,80;215,80;213,00;450 458 209;2 100 166;4 202;4 205;214,658
20.08.18;216,00;215,70;216,00;216,00;212,90;371 527 230;1 726 180;3 990;3 992;215,2174
17.08.18;212,20;212,10;212,20;214,60;212,00;521 477 235;2 447 996;4 974;4 975;213,0193
16.08.18;211,00;211,00;211,10;212,40;210,20;589 559 515;2 790 374;5 971;5 972;211,2836
15.08.18;211,20;211,20;211,40;215,10;211,10;578 991 055;2 722 021;5 420;5 422;212,7108
14.08.18;214,90;214,90;215,00;216,70;214,80;475 507 420;2 204 776;4 046;4 046;215,6715
