MHG;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
31.10.18;204,00;204,00;204,30;205,50;199,95;319 292 790;1 566 327;4 641;4 647;203,8272
30.10.18;201,50;201,40;201,60;203,60;200,20;245 484 335;1 217 226;3 938;3 941;201,6752
29.10.18;201,20;201,10;201,20;203,50;195,70;198 898 776;988 159;3 766;3 766;201,2822
26.10.18;196,50;196,50;196,75;199,20;195,45;234 563 775;1 190 457;4 151;4 160;197,0331
25.10.18;199,50;199,40;199,55;199,95;194,00;341 450 840;1 720 691;4 863;4 872;198,4032
24.10.18;196,70;196,70;196,90;200,50;196,00;360 503 074;1 824 262;5 743;5 744;197,6255
23.10.18;199,95;199,90;199,95;204,60;198,20;414 288 002;2 061 691;5 635;5 650;200,9424
22.10.18;201,40;201,10;201,40;204,20;200,70;229 882 757;1 137 724;3 301;3 303;202,0549
19.10.18;202,90;202,60;202,90;202,90;199,30;306 999 439;1 520 039;3 539;3 539;201,9681
18.10.18;200,10;200,00;200,20;204,00;199,75;354 750 715;1 761 046;5 901;5 904;201,4641
17.10.18;200,20;200,20;200,30;201,70;198,15;407 700 408;2 037 723;5 571;5 576;200,0915
16.10.18;199,00;198,90;199,00;199,15;193,85;427 104 440;2 162 311;6 782;6 792;197,5241
15.10.18;192,70;192,70;192,75;193,55;190,80;474 406 266;2 468 170;7 860;7 873;192,2234
12.10.18;188,60;188,55;188,60;189,20;185,00;246 643 053;1 314 743;4 543;4 546;187,5976
11.10.18;184,50;184,50;184,60;185,75;180,30;448 583 506;2 440 484;6 989;6 996;183,8281
10.10.18;186,30;186,30;186,35;192,50;185,90;409 651 282;2 178 757;5 806;5 809;187,9406
09.10.18;191,70;191,65;191,75;193,85;189,15;214 026 380;1 121 079;3 165;3 165;190,9111
08.10.18;193,00;193,00;193,10;193,90;190,90;196 236 635;1 019 609;2 976;2 979;192,464
05.10.18;191,60;191,45;191,60;194,85;190,60;215 073 709;1 120 270;3 580;3 582;191,9533
04.10.18;193,45;193,30;193,45;196,25;193,00;254 866 850;1 314 663;3 150;3 150;193,8648
03.10.18;196,10;196,10;196,25;196,80;195,15;226 551 534;1 155 569;2 842;2 844;196,0442
02.10.18;196,10;196,10;196,15;196,75;192,45;376 470 818;1 925 497;6 081;6 095;195,5468
01.10.18;192,90;192,80;192,90;193,75;188,70;276 517 927;1 438 389;3 798;3 802;192,2397
28.09.18;188,55;188,50;188,65;190,20;188,00;216 693 237;1 148 215;3 028;3 029;188,7219
27.09.18;188,30;188,30;188,35;189,50;187,60;187 984 176;998 406;3 007;3 013;188,2806
26.09.18;189,00;189,00;189,05;189,45;187,20;257 175 838;1 363 613;3 691;3 691;188,5988
25.09.18;189,95;189,85;189,95;190,45;187,90;219 024 942;1 155 344;3 463;3 463;189,5755
24.09.18;187,80;187,50;187,80;187,80;184,45;253 700 265;1 399 736;2 930;2 941;187,0903
21.09.18;184,20;184,20;184,30;187,60;184,20;484 109 198;2 618 930;5 263;5 265;184,866
20.09.18;186,80;186,70;186,80;187,25;183,15;240 908 492;1 294 410;4 053;4 055;186,1152
19.09.18;184,00;184,00;184,15;185,85;183,85;215 801 344;1 170 203;2 573;2 579;184,412
18.09.18;185,85;185,85;185,90;186,35;183,75;245 710 385;1 326 321;4 435;4 435;185,2571
17.09.18;185,10;185,10;185,20;187,05;184,50;213 412 668;1 150 787;3 619;3 621;185,4493
14.09.18;186,45;186,05;186,45;187,30;184,05;330 625 384;1 774 328;4 972;4 996;186,3404
13.09.18;184,00;184,00;184,20;185,00;182,40;238 557 117;1 297 181;3 699;3 725;183,9039
12.09.18;183,65;183,65;183,75;184,65;182,30;246 768 240;1 343 614;3 703;3 705;183,6534
11.09.18;182,00;181,95;182,10;183,05;181,60;244 093 517;1 338 625;3 833;3 834;182,3485
10.09.18;180,80;180,80;181,15;182,20;180,30;191 390 431;1 057 400;3 680;3 682;181,0748
07.09.18;180,30;180,30;180,45;183,05;180,00;262 256 516;1 449 679;3 223;3 224;180,9372
06.09.18;182,80;182,80;182,90;184,75;182,25;354 758 645;1 937 266;5 031;5 032;183,119
05.09.18;182,95;182,95;183,00;183,30;178,50;373 110 028;2 053 944;6 285;6 286;181,733
04.09.18;180,00;179,90;180,05;181,85;178,70;231 905 132;1 287 568;3 402;3 402;180,111
03.09.18;180,30;180,25;180,30;181,50;178,90;199 113 899;1 103 227;3 255;3 255;180,4832
31.08.18;181,15;181,10;181,15;182,00;177,75;865 640 933;4 800 412;8 671;8 675;180,6657
30.08.18;180,40;180,30;180,55;182,65;179,25;322 183 207;1 782 500;5 419;5 419;180,7479
29.08.18;180,50;180,45;180,50;180,85;175,70;428 455 364;2 398 545;5 666;5 670;178,7522
28.08.18;176,80;176,70;176,80;177,45;175,55;204 147 880;1 155 354;3 346;3 347;176,6774
27.08.18;176,65;176,65;176,80;179,95;176,20;154 542 194;870 903;2 508;2 509;177,4505
24.08.18;176,25;176,25;176,50;178,75;175,90;185 976 938;1 052 465;3 210;3 210;176,7061
23.08.18;178,10;178,10;178,50;179,95;176,60;292 483 423;1 641 115;4 741;4 741;178,2224
22.08.18;178,90;178,80;178,90;181,05;172,00;662 159 730;3 748 975;12 320;12 321;176,6599
21.08.18;181,05;181,00;181,10;183,05;180,65;330 012 037;1 813 420;5 039;5 041;181,6714
20.08.18;184,50;184,45;184,50;188,05;181,80;415 427 111;2 241 357;5 306;5 309;185,4074
17.08.18;181,40;181,25;181,40;181,90;178,85;207 777 736;1 149 514;3 528;3 528;180,7527
16.08.18;178,95;178,75;178,95;180,60;175,55;280 481 358;1 571 019;3 814;3 817;178,5227
15.08.18;174,00;174,00;174,15;178,00;173,45;263 744 674;1 506 620;3 884;3 886;174,8573
14.08.18;176,85;176,85;177,05;177,80;176,15;190 245 944;1 074 584;3 379;3 379;177,0415
13.08.18;177,40;177,40;177,45;179,00;175,50;190 361 842;1 074 183;3 527;3 528;177,139
10.08.18;179,10;179,10;179,25;182,00;179,10;269 310 035;1 495 631;5 338;5 338;180,0645
09.08.18;183,00;183,00;183,05;185,15;182,40;284 377 030;1 548 022;4 368;4 368;183,7035
08.08.18;184,30;184,00;184,30;184,30;178,30;299 267 456;1 641 602;5 318;5 318;182,3021
07.08.18;178,90;178,70;178,90;179,50;176,75;156 848 783;878 887;2 407;2 407;178,463
06.08.18;178,10;178,05;178,10;180,00;177,20;154 672 434;866 544;2 361;2 361;178,4935
03.08.18;176,95;176,95;177,00;184,15;176,50;448 569 929;2 507 277;6 768;6 768;178,9072
02.08.18;183,90;183,75;183,90;184,55;180,00;369 592 733;2 019 825;6 399;6 399;182,9826
01.08.18;180,55;180,50;180,55;180,95;178,50;335 829 887;1 870 234;5 080;5 082;179,8663
31.07.18;178,35;178,30;178,35;179,40;173,45;530 225 179;2 993 192;8 623;8 623;177,1437
30.07.18;173,60;173,50;173,65;174,25;170,80;171 773 291;990 182;3 001;3 001;173,4765
27.07.18;171,60;171,50;171,80;172,25;170,85;101 799 160;593 312;1 935;1 935;171,5778
26.07.18;171,30;171,30;171,40;173,25;170,75;148 951 633;868 112;2 894;2 895;171,5799
25.07.18;171,95;171,85;171,95;172,35;169,25;162 358 958;947 539;3 647;3 647;171,348
24.07.18;169,20;169,20;169,35;172,30;169,20;172 414 193;1 013 814;2 504;2 504;170,0649
23.07.18;171,75;171,75;172,00;174,90;170,90;149 279 459;866 444;2 562;2 562;172,2898
20.07.18;171,90;171,85;171,90;172,90;170,20;260 859 157;1 519 260;3 997;3 998;171,6913
19.07.18;170,10;170,10;170,20;171,40;167,50;213 003 883;1 252 087;4 523;4 524;170,1468
18.07.18;167,80;167,65;167,80;168,25;166,20;144 423 604;861 441;2 801;2 802;167,6777
17.07.18;166,80;166,80;166,95;167,30;164,50;186 139 548;1 121 924;3 020;3 021;166,1643
16.07.18;166,20;166,05;166,20;166,55;162,15;204 110 004;1 239 163;4 019;4 019;164,716
13.07.18;168,00;167,85;168,00;169,25;167,50;133 317 250;792 826;1 947;1 947;168,1545
12.07.18;168,60;168,60;168,70;169,15;166,90;138 488 709;821 913;2 050;2 050;168,4956
11.07.18;167,35;167,25;167,40;167,70;166,30;155 294 609;929 335;2 529;2 529;167,1029
10.07.18;167,10;167,10;167,30;167,55;164,45;214 294 742;1 287 145;3 866;3 866;166,4884
09.07.18;166,50;166,50;166,70;167,25;165,95;147 002 650;882 353;2 487;2 489;166,5801
06.07.18;166,00;165,80;166,00;168,20;165,15;302 362 788;1 814 371;5 016;5 016;166,6488
05.07.18;166,00;165,95;166,00;166,25;161,80;344 930 258;2 093 063;4 712;4 713;164,8757
04.07.18;163,20;163,05;163,20;164,50;162,30;129 102 932;790 289;2 314;2 315;163,3619
03.07.18;164,50;164,50;164,60;164,85;163,05;188 118 405;1 145 607;3 145;3 145;164,2085
02.07.18;164,30;164,25;164,30;164,70;161,50;171 075 778;1 044 432;3 329;3 329;163,7979
29.06.18;162,20;162,20;162,25;164,90;162,20;344 503 225;2 113 212;4 954;4 956;163,0293
28.06.18;163,75;163,75;164,15;165,85;163,50;277 347 985;1 689 321;3 664;3 668;164,1725
27.06.18;164,70;164,70;165,00;165,35;162,70;233 915 794;1 423 970;4 101;4 101;164,2702
26.06.18;164,55;164,55;164,60;165,70;160,85;282 364 705;1 725 799;5 455;5 455;163,6139
25.06.18;164,00;163,95;164,05;165,95;163,05;310 499 021;1 895 777;3 610;3 612;164,0754
22.06.18;164,75;164,60;164,80;166,15;162,60;215 297 146;1 309 025;3 471;3 472;164,509
21.06.18;165,15;165,00;165,15;166,50;163,75;207 395 289;1 256 838;2 976;2 976;165,0135
20.06.18;164,90;164,85;165,00;168,10;164,50;292 609 111;1 769 615;5 846;5 847;165,3531
19.06.18;166,85;166,85;167,00;169,95;166,70;321 950 247;1 921 471;5 252;5 252;167,554
18.06.18;167,50;167,50;167,75;170,60;167,20;313 268 303;1 896 607;5 557;5 558;167,9876
15.06.18;171,35;171,00;171,35;171,95;168,70;581 808 229;3 406 822;5 896;5 896;170,7774
14.06.18;171,30;171,30;171,40;173,95;170,10;305 318 613;1 777 263;5 455;5 455;171,7915
13.06.18;171,35;171,30;171,35;173,05;170,90;360 000 601;2 095 657;5 694;5 694;171,7841
12.06.18;171,00;170,95;171,00;171,95;169,25;325 596 497;1 907 373;5 469;5 470;170,5318
11.06.18;168,65;168,65;168,80;170,60;167,50;222 324 268;1 318 019;3 709;3 709;168,6806
08.06.18;168,65;168,65;168,80;169,25;162,75;322 275 202;1 930 178;6 346;6 346;166,9666
07.06.18;163,60;163,50;163,60;164,95;162,60;268 308 774;1 636 926;4 167;4 168;163,9016
06.06.18;163,45;163,25;163,45;164,90;162,45;263 232 918;1 609 271;4 488;4 488;163,5728
05.06.18;162,10;162,10;162,25;163,35;160,70;219 998 345;1 357 378;3 669;3 670;162,1171
04.06.18;162,50;162,45;162,55;163,65;161,10;481 709 192;2 971 761;4 009;4 010;162,1929
01.06.18;160,80;160,80;160,95;165,90;160,50;375 711 338;2 316 527;5 806;5 806;162,1873
31.05.18;163,70;163,70;163,80;166,90;163,50;598 393 370;3 645 294;5 075;5 075;164,155
30.05.18;165,05;165,05;165,20;167,85;163,60;252 640 108;1 524 779;4 610;4 610;165,6897
29.05.18;165,20;165,20;165,35;165,95;163,20;237 095 725;1 439 902;4 570;4 571;164,6711
28.05.18;166,30;166,15;166,30;167,30;163,90;160 168 459;964 828;3 123;3 123;166,0073
25.05.18;164,15;164,10;164,20;168,30;162,90;346 766 115;2 096 772;6 354;6 354;165,3809
24.05.18;166,50;166,50;166,55;167,80;164,40;323 037 902;1 941 417;5 341;5 343;166,3926
23.05.18;164,30;164,30;164,40;165,65;163,15;297 798 401;1 813 170;5 663;5 663;164,2419
22.05.18;164,30;164,30;164,40;169,55;163,50;336 151 249;2 030 864;5 912;5 913;165,6311
18.05.18;168,50;168,45;168,50;169,95;166,80;340 185 860;2 017 581;6 811;6 812;168,6247
16.05.18;170,45;170,30;170,45;171,60;169,25;371 627 486;2 180 793;5 260;5 261;170,3497
15.05.18;169,70;169,70;169,90;172,85;169,20;415 205 865;2 437 816;5 233;5 237;170,3091
14.05.18;169,95;169,70;169,95;170,85;168,80;214 794 869;1 264 519;3 382;3 382;169,8629
11.05.18;169,30;169,30;169,70;173,30;168,60;430 507 213;2 526 128;6 787;6 787;170,4218
09.05.18;175,50;175,45;175,50;180,35;174,00;484 301 886;2 750 010;7 924;7 924;176,1091
08.05.18;176,50;176,45;176,50;178,25;175,40;269 171 717;1 524 622;4 908;4 908;176,5498
07.05.18;178,10;177,85;178,10;178,25;175,25;215 805 913;1 216 434;3 280;3 280;177,4086
04.05.18;176,10;176,00;176,10;177,00;173,85;361 042 318;2 050 439;4 909;4 911;176,0557
03.05.18;174,00;173,95;174,00;175,20;171,15;428 475 904;2 467 174;7 268;7 269;173,638
02.05.18;170,90;170,85;170,90;174,60;169,55;703 071 039;4 104 574;10 462;10 462;171,2896
30.04.18;174,65;174,60;174,65;178,85;170,90;650 045 311;3 734 638;12 280;12 283;174,0713
27.04.18;180,00;179,95;180,00;180,70;178,45;233 557 254;1 298 589;3 994;3 994;179,8546
26.04.18;178,40;178,30;178,40;178,70;174,80;285 039 489;1 604 360;3 765;3 765;177,6655
25.04.18;174,80;174,80;174,90;176,25;172,40;254 831 997;1 461 122;4 527;4 527;174,4084
24.04.18;173,70;173,65;173,70;174,50;172,70;231 421 862;1 333 276;3 022;3 022;173,5739
23.04.18;172,60;172,60;172,70;172,90;168,85;322 447 415;1 882 931;5 736;5 738;171,4143
20.04.18;169,65;169,65;169,70;173,60;169,30;351 903 397;2 059 377;6 395;6 397;170,893
19.04.18;172,60;172,60;172,70;175,95;172,40;287 561 078;1 653 686;4 274;4 274;173,891
18.04.18;175,25;175,10;175,25;177,55;170,65;476 937 569;2 720 193;7 363;7 363;175,3323
17.04.18;174,00;174,00;174,05;174,20;171,20;264 721 222;1 531 188;4 418;4 418;172,8862
16.04.18;173,35;173,30;173,35;173,60;170,60;279 083 112;1 618 057;4 667;4 667;172,4804
13.04.18;175,00;174,95;175,00;175,10;172,65;283 856 349;1 629 695;4 221;4 221;174,1776
12.04.18;174,60;174,60;174,70;176,70;173,80;417 934 527;2 389 301;5 604;5 604;174,9192
11.04.18;174,90;174,85;174,95;175,00;170,00;750 461 578;4 349 983;7 914;7 923;172,7043
10.04.18;171,50;171,05;171,55;171,50;167,10;595 368 822;3 510 043;7 502;7 508;169,7063
09.04.18;165,15;164,90;165,15;166,75;163,90;334 036 219;2 023 771;5 126;5 126;165,0563
06.04.18;164,55;164,40;164,55;164,65;161,80;347 642 812;2 126 400;4 757;4 758;163,5239
05.04.18;162,30;162,20;162,45;162,90;160,90;298 055 825;1 839 431;4 536;4 536;162,037
04.04.18;159,80;159,70;159,80;163,60;159,00;398 208 330;2 479 255;5 780;5 782;160,6301
03.04.18;163,00;162,65;163,00;163,10;155,90;549 763 696;3 414 009;7 260;7 260;161,0317
28.03.18;157,20;157,20;157,45;158,35;156,80;179 505 309;1 140 009;1 839;1 842;157,4341
27.03.18;157,95;157,95;158,00;158,70;156,30;315 624 252;2 001 746;4 165;4 168;157,681
26.03.18;156,70;156,50;156,70;157,50;155,20;305 565 448;1 952 146;4 664;4 667;156,5526
23.03.18;155,05;154,90;155,05;156,20;150,40;364 690 295;2 365 424;5 954;5 955;154,1613
22.03.18;153,65;153,65;153,80;155,20;152,75;247 304 629;1 608 395;3 754;3 754;153,7586
21.03.18;154,25;154,10;154,40;155,25;152,95;212 579 022;1 378 420;3 324;3 324;154,2193
20.03.18;153,00;152,95;153,05;154,90;150,15;344 072 770;2 245 520;6 027;6 027;153,2263
19.03.18;151,20;151,20;151,40;152,10;149,25;259 131 303;1 729 168;4 293;4 295;151,1964
16.03.18;151,60;151,55;151,60;154,40;151,10;806 592 798;5 335 650;5 155;5 157;151,8873
15.03.18;153,60;153,50;153,60;154,90;152,35;307 043 797;1 999 349;5 006;5 006;153,5719
14.03.18;154,95;154,95;155,15;157,75;154,45;320 265 784;2 058 052;5 208;5 208;155,616
13.03.18;157,15;157,15;157,20;159,60;156,65;348 829 473;2 213 614;6 402;6 402;157,5837
12.03.18;160,00;160,00;160,05;160,00;157,45;560 742 897;3 522 388;7 321;7 323;159,2146
09.03.18;156,50;156,50;156,55;157,50;155,35;275 306 686;1 760 230;4 574;4 574;156,4038
08.03.18;156,30;156,25;156,30;157,00;154,70;382 599 618;2 450 656;4 963;4 966;156,1221
