NHY;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
31.10.18;43,76;43,76;43,77;43,96;42,58;428 275 680;9 835 305;6 635;6 637;43,5419
30.10.18;42,30;42,30;42,31;42,60;41,76;203 147 443;4 802 580;4 645;4 645;42,2996
29.10.18;41,86;41,84;41,86;43,10;41,74;261 200 990;6 179 952;5 796;5 796;42,2659
26.10.18;41,97;41,97;41,99;42,99;41,23;516 159 045;12 242 255;11 752;11 805;42,1619
25.10.18;41,09;41,09;41,14;41,32;39,52;389 390 860;9 516 662;7 711;7 717;40,9018
24.10.18;40,88;40,88;40,92;42,40;40,88;439 436 232;10 652 910;7 688;7 697;41,2768
23.10.18;40,82;40,82;40,90;41,97;40,82;531 682 399;12 886 485;7 275;7 285;41,2367
22.10.18;42,28;42,28;42,30;43,29;42,28;223 899 724;5 272 461;4 868;4 870;42,4631
19.10.18;42,21;42,21;42,25;42,52;41,60;278 725 702;6 614 785;6 150;6 158;42,1026
18.10.18;41,86;41,86;41,90;43,30;41,84;332 113 163;7 844 272;7 493;7 497;42,2621
17.10.18;43,06;43,00;43,06;43,80;41,76;317 362 757;7 377 509;7 119;7 123;43,0176
16.10.18;42,64;42,57;42,64;42,68;41,78;321 274 965;7 593 114;6 360;6 374;42,3149
15.10.18;42,69;42,69;42,70;42,94;42,02;228 952 887;5 392 308;5 204;5 205;42,4592
12.10.18;42,85;42,85;42,90;43,38;42,20;300 696 797;7 044 504;7 037;7 079;42,6828
11.10.18;42,66;42,66;42,71;42,99;41,40;456 350 669;10 774 258;9 893;9 972;42,3487
10.10.18;43,56;43,56;43,59;45,01;43,51;341 925 579;7 771 606;6 531;6 537;43,9419
09.10.18;44,70;44,67;44,72;46,65;44,41;522 899 227;11 569 701;9 310;9 320;45,1833
08.10.18;45,54;45,54;45,59;46,77;45,32;741 081 521;16 170 805;15 161;15 193;45,8227
05.10.18;43,83;43,83;43,84;44,34;42,52;723 903 495;16 600 441;14 229;14 229;43,6075
04.10.18;42,09;42,09;42,10;43,10;40,55;770 150 087;18 405 802;15 676;15 712;41,8422
03.10.18;43,38;43,34;43,39;49,60;42,21;1 370 999 819;31 477 555;30 320;30 341;43,5345
02.10.18;49,21;49,21;49,25;49,61;48,41;265 669 625;5 419 309;4 216;4 218;49,0167
01.10.18;48,59;48,58;48,59;49,21;48,52;282 956 244;5 803 343;4 928;4 934;48,7578
28.09.18;48,86;48,82;48,86;49,21;48,41;292 131 847;5 990 106;5 180;5 187;48,7735
27.09.18;48,55;48,55;48,56;49,15;48,37;202 317 287;4 160 852;4 203;4 209;48,6256
26.09.18;49,09;49,06;49,09;50,12;49,03;219 638 329;4 470 923;4 363;4 381;49,2061
25.09.18;49,61;49,61;49,65;50,06;48,75;520 576 566;10 494 735;8 042;8 059;49,596
24.09.18;48,60;48,59;48,60;48,88;47,89;320 376 997;6 606 753;5 314;5 344;48,5088
21.09.18;48,60;48,59;48,60;48,93;48,24;424 034 695;8 732 552;5 898;5 904;48,5774
20.09.18;48,20;48,18;48,20;48,45;47,12;500 608 972;10 418 339;8 091;8 094;48,0688
19.09.18;47,10;47,08;47,10;47,26;46,26;369 927 612;7 884 887;6 426;6 429;46,9215
18.09.18;46,09;46,09;46,12;46,78;45,86;485 237 494;10 490 482;7 498;7 503;46,2547
17.09.18;45,27;45,25;45,27;45,38;44,75;202 974 747;4 498 725;5 018;5 022;45,1184
14.09.18;45,38;45,38;45,42;46,13;45,20;352 445 565;7 661 103;6 578;6 581;45,6404
13.09.18;44,89;44,89;44,97;46,09;44,89;398 176 679;8 785 566;8 166;8 172;45,3213
12.09.18;45,58;45,57;45,60;47,10;45,25;405 082 476;8 809 935;7 716;7 723;45,9822
11.09.18;46,98;46,92;46,98;47,78;46,00;454 109 296;9 712 286;9 853;9 853;46,7562
10.09.18;47,35;47,35;47,36;47,71;46,03;471 731 869;10 033 177;9 344;9 345;47,0143
07.09.18;46,17;46,17;46,20;47,36;45,66;508 183 343;10 965 006;10 238;10 239;46,3446
06.09.18;47,11;47,10;47,11;48,23;47,00;646 522 500;13 598 370;13 571;13 579;47,5377
05.09.18;45,79;45,78;45,79;46,55;45,11;255 315 703;5 584 423;5 521;5 521;45,7193
04.09.18;45,74;45,70;45,75;46,06;45,33;184 289 284;4 036 318;4 439;4 439;45,6578
03.09.18;46,02;46,00;46,02;46,53;45,60;190 603 244;4 138 895;3 862;3 866;46,0455
31.08.18;46,31;46,31;46,33;46,66;46,11;344 682 565;7 435 729;4 234;4 237;46,3563
30.08.18;46,72;46,67;46,72;47,65;46,50;236 722 664;5 051 744;4 456;4 459;46,8701
29.08.18;47,56;47,56;47,60;47,92;47,23;184 791 642;3 888 170;3 121;3 123;47,5191
28.08.18;47,74;47,73;47,74;48,10;47,35;245 404 726;5 135 447;5 131;5 134;47,7857
27.08.18;47,16;47,14;47,16;47,23;46,67;151 614 126;3 227 073;2 746;2 749;46,9863
24.08.18;46,81;46,80;46,81;46,92;46,12;164 605 705;3 530 225;3 458;3 459;46,6332
23.08.18;46,42;46,41;46,42;46,70;46,12;169 313 934;3 649 476;3 317;3 321;46,393
22.08.18;46,46;46,44;46,49;46,65;45,58;258 747 576;5 588 059;5 558;5 560;46,3045
21.08.18;45,90;45,86;45,93;46,14;45,51;149 753 662;3 267 430;3 227;3 229;45,8325
20.08.18;45,80;45,76;45,85;46,03;45,05;226 573 510;4 955 398;4 216;4 219;45,7232
17.08.18;44,68;44,66;44,70;45,88;44,21;361 795 310;8 070 508;7 487;7 489;44,8279
16.08.18;45,87;45,87;45,90;46,28;45,29;282 220 172;5 914 127;4 493;4 498;45,6707
15.08.18;45,29;45,26;45,30;46,90;45,15;281 216 715;6 156 652;6 603;6 607;45,6453
14.08.18;46,88;46,88;46,91;47,88;46,63;298 846 133;6 333 420;6 881;6 884;47,1642
13.08.18;46,88;46,85;46,88;47,12;46,37;146 154 783;3 125 720;3 287;3 287;46,7588
10.08.18;46,94;46,87;46,99;48,29;46,72;292 056 704;6 183 739;7 845;7 845;47,2298
09.08.18;48,68;48,65;48,68;48,77;48,00;355 046 791;7 337 165;6 874;6 878;48,3746
08.08.18;47,14;47,14;47,21;47,50;46,92;180 791 826;3 832 417;4 068;4 069;47,1744
07.08.18;47,31;47,31;47,33;47,37;46,38;246 683 164;5 244 323;5 587;5 590;47,0425
06.08.18;45,98;45,98;46,04;47,50;45,94;202 324 414;4 367 578;5 436;5 436;46,3242
03.08.18;46,06;46,06;46,15;46,50;45,31;250 581 837;5 447 535;6 020;6 021;46,0116
02.08.18;45,13;45,13;45,15;45,57;44,46;328 185 347;7 294 024;7 897;7 900;44,9854
01.08.18;45,76;45,73;45,76;46,44;45,38;279 874 897;6 112 077;5 908;5 909;45,7931
31.07.18;46,50;46,50;46,52;46,79;45,91;292 034 395;6 287 319;4 849;4 852;46,4431
30.07.18;46,59;46,56;46,59;46,90;46,20;177 341 963;3 809 208;3 883;3 885;46,5545
27.07.18;47,00;46,98;47,00;47,05;46,37;189 426 906;4 042 681;3 560;3 561;46,852
26.07.18;46,70;46,70;46,79;47,22;46,70;170 798 376;3 644 289;3 608;3 609;46,8674
25.07.18;46,66;46,64;46,66;46,99;45,71;481 494 949;10 371 494;8 344;8 347;46,4406
24.07.18;47,30;47,29;47,30;47,94;45,80;363 333 984;7 707 244;8 367;8 372;47,1464
23.07.18;45,73;45,71;45,75;45,95;45,05;215 567 422;4 688 542;4 070;4 073;45,6695
20.07.18;45,40;45,35;45,40;46,55;45,12;304 619 165;6 654 611;6 607;6 611;45,6442
19.07.18;46,68;46,67;46,68;47,75;46,61;206 381 476;4 406 730;4 202;4 202;46,8332
18.07.18;47,32;47,29;47,32;48,00;47,00;209 061 249;4 416 767;4 444;4 447;47,3343
17.07.18;48,20;48,20;48,24;48,40;46,94;229 542 830;4 790 676;5 924;5 924;47,9145
16.07.18;46,81;46,81;46,85;47,30;46,64;165 635 255;3 531 189;3 901;3 903;46,9056
13.07.18;46,78;46,73;46,78;47,27;46,30;138 832 515;2 970 402;2 775;2 775;46,7386
12.07.18;47,09;47,09;47,15;47,28;46,70;160 000 545;3 404 463;3 661;3 661;46,9973
11.07.18;46,80;46,80;46,83;47,63;46,42;208 381 467;4 455 368;4 216;4 217;46,7704
10.07.18;48,05;48,05;48,07;48,37;47,66;146 027 322;3 042 122;3 556;3 557;47,995
09.07.18;47,92;47,92;47,98;48,21;47,54;122 293 781;2 555 231;2 985;2 985;47,8602
06.07.18;47,14;47,14;47,20;48,43;47,08;199 880 228;4 214 449;4 351;4 351;47,4274
05.07.18;48,08;48,05;48,08;48,45;47,55;215 621 902;4 484 879;5 252;5 254;48,075
04.07.18;47,62;47,61;47,62;48,31;47,55;154 365 369;3 224 968;2 758;2 762;47,7864
03.07.18;48,31;48,27;48,33;48,67;47,54;250 504 304;5 198 210;6 435;6 435;48,1905
02.07.18;48,12;48,10;48,12;48,52;47,78;210 000 519;4 358 260;5 307;5 307;48,1845
29.06.18;48,79;48,79;48,84;49,92;48,69;375 813 147;7 673 809;5 876;5 879;48,9743
28.06.18;48,76;48,76;48,77;49,80;48,76;249 962 940;5 077 879;5 101;5 107;49,0691
27.06.18;49,83;49,82;49,83;50,14;48,40;224 535 025;4 540 829;5 647;5 648;49,446
26.06.18;49,28;49,28;49,29;50,40;49,07;235 730 754;4 772 028;8 276;8 279;49,4055
25.06.18;50,02;50,00;50,02;51,24;49,90;172 429 815;3 429 121;5 654;5 654;50,284
22.06.18;51,16;51,12;51,16;51,54;51,04;205 372 145;4 006 978;15 996;15 998;51,244
21.06.18;51,54;51,54;51,60;52,78;51,26;194 349 520;3 759 661;3 718;3 718;51,6934
20.06.18;52,38;52,34;52,38;53,34;52,00;247 938 407;4 709 647;4 325;4 327;52,6399
19.06.18;52,18;52,14;52,18;52,40;51,72;257 370 496;4 940 346;4 373;4 374;52,0948
18.06.18;53,14;53,14;53,18;53,86;52,68;265 318 170;4 997 522;4 025;4 030;53,1374
15.06.18;54,10;54,08;54,10;54,84;52,84;581 118 384;10 769 480;7 883;7 885;53,9578
14.06.18;53,10;53,08;53,12;53,36;52,40;292 931 516;5 534 708;4 957;4 959;52,9313
13.06.18;53,60;53,54;53,60;53,60;52,62;254 354 726;4 764 957;3 717;3 717;53,3803
12.06.18;53,32;53,26;53,32;53,40;52,06;439 238 078;8 291 943;7 112;7 117;52,9724
11.06.18;54,28;54,28;54,30;54,88;53,92;360 254 895;6 629 886;5 188;5 191;54,3681
08.06.18;53,72;53,72;53,76;54,28;53,38;347 412 194;6 455 144;6 022;6 023;53,8163
07.06.18;53,62;53,60;53,62;54,06;53,22;298 850 421;5 574 946;5 156;5 157;53,6061
06.06.18;53,42;53,40;53,42;53,72;53,12;250 433 005;4 689 244;4 161;4 166;53,3991
05.06.18;52,90;52,90;52,96;53,16;51,76;264 242 714;5 013 676;4 412;4 413;52,7048
04.06.18;52,00;51,94;52,00;52,40;51,46;186 675 602;3 600 900;3 012;3 012;51,8414
01.06.18;51,98;51,92;52,00;51,98;51,12;195 998 202;3 786 179;3 152;3 153;51,7668
31.05.18;51,34;51,32;51,34;52,18;51,28;438 841 037;8 520 259;5 050;5 051;51,5061
30.05.18;51,60;51,56;51,60;51,68;50,68;295 209 495;5 739 602;5 902;5 902;51,4338
29.05.18;51,70;51,70;51,74;52,18;51,00;496 514 504;9 618 045;8 917;8 918;51,6226
28.05.18;50,12;50,12;50,18;50,78;49,50;133 846 806;2 665 389;2 894;2 894;50,2166
25.05.18;49,41;49,41;49,45;50,24;49,41;185 582 701;3 733 542;5 286;5 287;49,7068
24.05.18;49,75;49,75;49,79;51,02;49,50;194 258 878;3 874 624;3 893;3 893;50,1362
23.05.18;50,50;50,50;50,54;51,38;50,08;290 869 360;5 767 238;5 563;5 564;50,4342
22.05.18;51,70;51,70;51,74;51,82;50,00;331 617 450;6 454 002;6 343;6 345;51,3767
18.05.18;51,30;51,24;51,30;51,96;50,54;540 520 274;10 435 180;7 169;7 174;51,1487
16.05.18;51,54;51,50;51,58;51,66;47,79;582 757 437;11 586 783;10 369;10 373;50,3238
15.05.18;47,83;47,83;47,87;48,19;47,30;273 457 922;5 711 926;6 277;6 278;47,8763
14.05.18;47,77;47,74;47,77;48,37;47,45;316 608 951;6 630 482;7 761;7 761;47,7505
11.05.18;48,39;48,39;48,40;49,23;48,07;283 646 704;5 833 919;5 701;5 702;48,6209
09.05.18;48,64;48,64;48,65;49,28;48,00;351 318 785;7 234 667;7 429;7 433;48,5774
08.05.18;48,66;48,56;48,66;48,85;47,50;278 762 542;5 760 758;6 500;6 500;48,3899
07.05.18;50,06;50,04;50,06;50,24;48,75;342 941 613;6 916 973;7 281;7 284;49,5784
04.05.18;50,84;50,80;50,86;51,34;50,22;292 056 101;5 748 038;5 422;5 424;50,8023
03.05.18;50,34;50,34;50,36;50,98;50,12;218 140 198;4 318 792;4 310;4 310;50,5095
02.05.18;50,74;50,74;50,78;50,80;49,51;376 204 285;7 487 695;6 572;6 574;50,2796
30.04.18;50,06;50,06;50,12;50,92;50,02;303 449 468;6 035 678;6 140;6 141;50,2747
27.04.18;50,50;50,48;50,50;51,68;50,32;236 092 852;4 642 932;4 839;4 839;50,8499
26.04.18;51,54;51,54;51,58;52,88;49,93;592 971 430;11 549 881;10 373;10 375;51,3373
25.04.18;51,16;51,14;51,16;51,44;47,70;397 535 964;7 847 598;8 957;8 957;50,657
24.04.18;50,58;50,58;50,60;51,52;50,22;510 260 949;10 039 339;10 078;10 080;50,8247
23.04.18;50,72;50,70;50,72;53,98;49,90;662 157 425;12 936 615;13 371;13 379;51,2911
20.04.18;53,24;53,22;53,30;53,98;53,12;346 652 124;6 516 816;6 136;6 138;53,4446
19.04.18;53,52;53,52;53,54;56,40;53,10;713 851 371;13 057 452;13 996;14 000;54,7028
18.04.18;54,00;53,98;54,00;54,34;51,92;652 132 835;12 191 768;11 950;11 955;53,4907
17.04.18;51,70;51,68;51,70;52,96;50,84;547 628 570;10 597 645;9 864;9 868;51,656
16.04.18;52,24;52,24;52,28;52,34;50,68;409 536 597;7 903 876;8 590;8 592;51,8187
13.04.18;51,46;51,42;51,46;51,94;50,84;424 281 278;8 243 548;8 959;8 962;51,4683
12.04.18;50,36;50,32;50,36;50,80;49,55;423 961 236;8 460 639;8 674;8 676;50,1103
11.04.18;49,36;49,34;49,36;49,83;48,37;470 305 096;9 556 430;9 897;9 900;49,2151
