"Date","Price","Open","High","Low","Change %"
"Nov 01, 2018","8.3704","8.4341","8.4349","8.3538","-0.76%"
"Oct 31, 2018","8.4341","8.4097","8.4527","8.3985","0.24%"
"Oct 30, 2018","8.4139","8.3943","8.4240","8.3698","0.24%"
"Oct 29, 2018","8.3935","8.3500","8.3985","8.3265","0.41%"
"Oct 28, 2018","8.3594","8.3539","8.3595","8.3508","0.09%"
"Oct 26, 2018","8.3516","8.3427","8.3955","8.3267","0.10%"
"Oct 25, 2018","8.3432","8.3512","8.3644","8.3033","-0.10%"
"Oct 24, 2018","8.3515","8.2890","8.3518","8.2696","0.73%"
"Oct 23, 2018","8.2909","8.2586","8.3154","8.2496","0.41%"
"Oct 22, 2018","8.2568","8.2256","8.2695","8.1965","0.37%"
"Oct 21, 2018","8.2261","8.2172","8.2278","8.2165","-0.01%"
"Oct 19, 2018","8.2273","8.2788","8.2827","8.2091","-0.61%"
"Oct 18, 2018","8.2781","8.2133","8.2831","8.2043","0.80%"
"Oct 17, 2018","8.2128","8.1456","8.2175","8.1379","0.80%"
"Oct 16, 2018","8.1475","8.1540","8.1643","8.1165","-0.07%"
"Oct 15, 2018","8.1528","8.1783","8.1893","8.1405","-0.25%"
"Oct 14, 2018","8.1731","8.1875","8.1875","8.1711","0.01%"
"Oct 12, 2018","8.1723","8.2166","8.2238","8.1663","-0.53%"
"Oct 11, 2018","8.2155","8.2362","8.2441","8.1888","-0.25%"
"Oct 10, 2018","8.2363","8.2661","8.2700","8.1894","-0.37%"
"Oct 09, 2018","8.2671","8.2770","8.3087","8.2491","-0.11%"
"Oct 08, 2018","8.2765","8.2601","8.2995","8.2561","0.19%"
"Oct 07, 2018","8.2608","8.2604","8.2629","8.2572","-0.00%"
"Oct 05, 2018","8.2609","8.2496","8.2917","8.2357","0.13%"
"Oct 04, 2018","8.2499","8.2307","8.2622","8.2141","0.28%"
"Oct 03, 2018","8.2266","8.1748","8.2334","8.1470","0.64%"
"Oct 02, 2018","8.1744","8.1513","8.2143","8.1480","0.29%"
"Oct 01, 2018","8.1507","8.1483","8.1715","8.1244","0.07%"
"Sep 30, 2018","8.1449","8.1425","8.1486","8.1390","-0.03%"
"Sep 28, 2018","8.1473","8.1552","8.1939","8.1284","-0.10%"
"Sep 27, 2018","8.1552","8.1121","8.1602","8.0926","0.54%"
"Sep 26, 2018","8.1111","8.1271","8.1385","8.0810","-0.22%"
"Sep 25, 2018","8.1286","8.1410","8.1517","8.1026","-0.16%"
"Sep 24, 2018","8.1417","8.1498","8.1628","8.1155","-0.01%"
"Sep 23, 2018","8.1427","8.1538","8.1609","8.1419","-0.07%"
"Sep 21, 2018","8.1480","8.1454","8.1613","8.1189","0.03%"
"Sep 20, 2018","8.1452","8.1532","8.2312","8.1197","-0.08%"
"Sep 19, 2018","8.1517","8.1596","8.1918","8.1290","-0.10%"
"Sep 18, 2018","8.1599","8.1746","8.1857","8.1435","-0.16%"
"Sep 17, 2018","8.1733","8.2544","8.2637","8.1619","-0.99%"
"Sep 16, 2018","8.2549","8.2626","8.2695","8.2520","-0.01%"
"Sep 14, 2018","8.2554","8.2193","8.2712","8.2100","0.45%"
"Sep 13, 2018","8.2181","8.2607","8.2667","8.1937","-0.50%"
"Sep 12, 2018","8.2594","8.3197","8.3486","8.2249","-0.72%"
"Sep 11, 2018","8.3197","8.3893","8.4027","8.3139","-0.83%"
"Sep 10, 2018","8.3893","8.4543","8.4579","8.3620","-0.59%"
"Sep 09, 2018","8.4395","8.4615","8.4615","8.4395","-0.15%"
"Sep 07, 2018","8.4520","8.4200","8.4676","8.4029","0.36%"
"Sep 06, 2018","8.4221","8.3942","8.4405","8.3811","0.33%"
"Sep 05, 2018","8.3942","8.3918","8.4314","8.3735","0.02%"
"Sep 04, 2018","8.3928","8.3527","8.4244","8.3485","0.46%"
"Sep 03, 2018","8.3546","8.3848","8.3999","8.3458","-0.47%"
"Sep 02, 2018","8.3942","8.3887","8.3984","8.3816","0.08%"
"Aug 31, 2018","8.3873","8.3443","8.3981","8.3157","0.51%"
"Aug 30, 2018","8.3448","8.3323","8.3641","8.3068","0.17%"
"Aug 29, 2018","8.3310","8.3417","8.3808","8.3286","-0.13%"
"Aug 28, 2018","8.3422","8.3225","8.3524","8.2887","0.22%"
"Aug 27, 2018","8.3235","8.3276","8.3701","8.3147","0.00%"
"Aug 26, 2018","8.3232","8.3356","8.3374","8.3114","-0.05%"
"Aug 24, 2018","8.3276","8.3878","8.3934","8.3237","-0.73%"
"Aug 23, 2018","8.3888","8.3419","8.3982","8.3235","0.56%"
"Aug 22, 2018","8.3418","8.4046","8.4148","8.3281","-0.74%"
"Aug 21, 2018","8.4044","8.4449","8.4459","8.3875","-0.49%"
"Aug 20, 2018","8.4459","8.4495","8.4858","8.4344","-0.11%"
"Aug 19, 2018","8.4548","8.4489","8.4570","8.4429","0.00%"
"Aug 17, 2018","8.4545","8.4761","8.5095","8.4428","-0.26%"
"Aug 16, 2018","8.4766","8.4533","8.5037","8.4060","0.26%"
"Aug 15, 2018","8.4543","8.4169","8.4944","8.4095","0.45%"
"Aug 14, 2018","8.4163","8.3634","8.4216","8.3372","0.63%"
"Aug 13, 2018","8.3633","8.3632","8.4252","8.3420","-0.06%"
"Aug 12, 2018","8.3684","8.3910","8.3968","8.3602","0.05%"
"Aug 10, 2018","8.3642","8.3203","8.3876","8.3070","0.54%"
"Aug 09, 2018","8.3192","8.2183","8.3215","8.2098","1.24%"
"Aug 08, 2018","8.2175","8.2022","8.2380","8.1797","0.18%"
"Aug 07, 2018","8.2027","8.2504","8.2570","8.1829","-0.59%"
"Aug 06, 2018","8.2511","8.2574","8.2690","8.2332","-0.12%"
"Aug 05, 2018","8.2607","8.2520","8.2619","8.2508","0.06%"
"Aug 03, 2018","8.2561","8.2424","8.2652","8.2140","0.17%"
"Aug 02, 2018","8.2424","8.1806","8.2474","8.1678","0.81%"
"Aug 01, 2018","8.1765","8.1569","8.1831","8.1537","0.24%"
"Jul 31, 2018","8.1569","8.1352","8.1613","8.1170","0.27%"
"Jul 30, 2018","8.1346","8.1877","8.1999","8.1280","-0.69%"
"Jul 29, 2018","8.1911","8.1854","8.1936","8.1818","0.04%"
"Jul 27, 2018","8.1882","8.1895","8.2163","8.1657","-0.02%"
"Jul 26, 2018","8.1899","8.1351","8.1948","8.1217","0.67%"
"Jul 25, 2018","8.1353","8.1770","8.1891","8.1223","-0.53%"
"Jul 24, 2018","8.1788","8.1970","8.2238","8.1517","-0.20%"
"Jul 23, 2018","8.1951","8.1773","8.2041","8.1448","0.41%"
"Jul 22, 2018","8.1616","8.1780","8.1814","8.1583","-0.22%"
"Jul 20, 2018","8.1798","8.2341","8.2501","8.1687","-0.66%"
"Jul 19, 2018","8.2341","8.1702","8.2758","8.1594","0.78%"
"Jul 18, 2018","8.1703","8.1531","8.2009","8.1433","0.21%"
