YAR;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
31.10.18;362,70;362,30;362,70;362,70;355,10;284 305 790;788 108;4 319;4 324;360,7436
30.10.18;350,60;350,30;350,70;353,00;346,00;181 308 907;518 348;3 677;3 679;349,766
29.10.18;352,20;352,00;352,20;357,50;349,20;200 455 544;566 818;3 839;3 841;353,6188
26.10.18;349,20;349,10;349,20;355,00;346,50;220 072 609;629 683;4 609;4 610;349,4248
25.10.18;353,30;353,20;353,50;357,90;346,00;271 390 587;768 171;4 561;4 564;353,2772
24.10.18;353,50;353,40;353,50;358,70;352,10;232 744 424;656 169;4 605;4 624;354,6827
23.10.18;352,50;352,50;352,60;364,00;351,70;375 132 992;1 052 937;7 857;7 866;356,2795
22.10.18;368,30;368,30;368,60;380,50;367,60;282 635 677;760 871;4 760;4 769;371,279
19.10.18;375,00;375,00;375,10;376,10;364,00;482 767 341;1 307 877;7 130;7 139;372,372
18.10.18;368,20;368,00;368,20;382,00;367,50;888 257 259;2 387 158;15 738;15 761;372,0621
17.10.18;389,00;388,90;389,00;398,00;388,60;252 024 568;644 722;4 715;4 715;390,9042
16.10.18;394,00;393,50;394,00;394,00;386,70;244 338 832;624 374;4 027;4 034;391,3738
15.10.18;387,20;387,10;387,20;392,60;383,60;251 831 464;649 263;3 350;3 350;387,8728
12.10.18;387,80;387,70;387,80;390,90;381,70;306 532 752;792 101;6 767;6 768;387,0183
11.10.18;383,40;383,20;383,40;386,40;365,30;508 603 554;1 341 141;9 970;9 973;379,2419
10.10.18;393,00;393,00;393,10;394,60;388,50;484 445 533;1 235 322;3 959;3 965;392,2708
09.10.18;390,70;390,50;390,70;397,00;388,60;404 598 029;1 032 660;5 563;5 568;391,5795
08.10.18;393,20;393,20;393,30;399,30;388,20;240 581 316;611 886;4 039;4 040;393,1831
05.10.18;396,40;396,00;396,60;407,80;394,60;262 495 149;658 345;6 116;6 125;398,7221
04.10.18;401,00;401,00;401,30;405,60;399,00;234 550 234;583 145;4 937;4 943;402,2165
03.10.18;402,90;402,70;403,00;407,60;399,70;160 441 526;398 128;3 513;3 520;402,9821
02.10.18;402,20;401,70;402,20;403,80;398,50;239 625 414;597 368;5 507;5 517;401,0807
01.10.18;403,20;403,20;403,40;404,20;398,20;238 224 983;592 919;3 605;3 650;401,7783
28.09.18;399,70;399,30;399,70;399,80;392,90;316 328 926;795 844;5 127;5 148;397,5261
27.09.18;390,90;390,40;390,90;391,50;387,70;187 670 664;480 156;3 258;3 263;390,2289
26.09.18;391,00;390,70;391,00;396,40;388,20;239 120 882;610 732;4 192;4 200;391,5312
25.09.18;395,20;395,00;395,20;395,50;383,90;403 768 182;1 027 989;6 232;6 268;392,9482
24.09.18;387,40;387,40;387,50;392,00;386,80;274 294 224;707 142;3 344;3 366;388,6372
21.09.18;388,40;388,40;388,50;392,20;385,00;453 056 667;1 183 973;5 217;5 238;388,7205
20.09.18;388,80;388,70;388,80;389,00;380,20;306 063 550;791 665;4 199;4 223;386,5967
19.09.18;382,10;382,10;382,20;383,20;379,00;191 672 265;501 795;3 047;3 048;381,973
18.09.18;379,70;379,40;379,80;381,20;376,00;229 726 374;606 171;3 045;3 054;379,0223
17.09.18;377,40;377,30;377,70;379,60;368,70;206 628 425;550 027;3 921;3 978;375,6872
14.09.18;373,90;373,90;374,30;377,20;373,40;169 057 319;451 098;3 657;3 660;374,7323
13.09.18;374,10;374,10;374,30;376,10;372,00;172 456 458;460 749;3 944;3 948;374,2673
12.09.18;372,00;372,00;372,10;378,80;372,00;186 954 853;499 915;3 681;3 687;373,8517
11.09.18;374,00;373,80;374,00;379,40;372,40;200 789 604;536 307;3 432;3 434;374,403
10.09.18;377,60;377,50;377,70;381,90;376,60;179 760 570;474 804;3 142;3 144;378,3392
07.09.18;378,00;377,70;378,20;388,00;376,00;262 347 860;690 246;4 495;4 496;380,0669
06.09.18;378,50;378,30;378,50;381,20;374,10;190 840 480;504 416;3 577;3 578;378,3311
05.09.18;376,10;376,10;376,40;382,30;372,50;246 518 784;654 416;5 861;5 861;376,7004
04.09.18;380,20;380,10;380,30;387,30;378,00;201 361 443;527 963;4 137;4 138;381,3718
03.09.18;386,90;386,60;386,90;393,00;385,30;161 411 160;416 365;2 994;2 995;387,6438
31.08.18;386,00;386,00;386,30;392,10;385,50;358 240 307;925 969;4 030;4 033;386,8659
30.08.18;392,90;392,10;392,90;395,30;389,00;227 225 306;578 943;4 437;4 439;392,5163
29.08.18;394,80;394,60;394,80;400,80;391,40;380 794 794;962 543;5 949;5 952;395,6939
28.08.18;396,00;395,70;396,00;397,70;388,50;618 486 584;1 570 715;9 578;9 588;393,6774
27.08.18;385,00;385,00;385,50;386,00;377,50;158 418 028;413 786;2 962;2 968;382,82
24.08.18;378,00;378,00;378,40;378,80;371,80;202 288 334;536 751;3 293;3 294;376,8731
23.08.18;372,90;372,90;373,00;375,20;371,10;132 523 912;355 214;2 709;2 710;373,0682
22.08.18;374,90;373,90;374,90;375,20;369,20;121 028 465;323 745;2 211;2 214;373,9077
21.08.18;373,90;373,90;374,00;374,40;370,00;139 716 563;374 266;2 533;2 535;373,2893
20.08.18;373,30;373,00;373,50;374,20;365,10;206 590 140;557 746;3 366;3 369;370,9294
17.08.18;365,00;364,50;365,00;365,40;360,10;168 431 899;462 469;2 805;2 805;364,2015
16.08.18;360,40;360,20;360,40;362,30;357,10;117 020 392;325 105;1 853;1 856;359,9643
15.08.18;358,30;358,00;358,30;365,50;357,60;121 883 030;338 365;2 185;2 185;360,2117
14.08.18;363,00;363,00;363,30;366,30;362,00;136 637 551;375 996;2 702;2 702;363,4016
13.08.18;364,90;364,80;364,90;365,20;360,30;130 351 587;358 757;2 703;2 705;363,345
10.08.18;363,50;363,50;364,00;369,90;363,00;250 786 667;686 572;5 271;5 272;365,4122
09.08.18;371,00;370,90;371,00;371,00;365,20;184 953 684;500 816;2 883;2 885;369,3515
08.08.18;368,90;368,90;369,20;372,30;364,40;315 967 656;856 660;5 657;5 660;368,8131
07.08.18;363,50;363,30;363,50;363,50;358,90;117 790 776;324 847;2 028;2 028;362,6039
06.08.18;358,00;357,90;358,40;363,90;357,20;143 186 317;398 552;2 663;2 664;359,2596
